agent who xcor ycor
 "dc" 1 25.67577018350676 34.237321114090776
 "dc" 0 25.066111765528596 15.25964982719832
 "pod" 6 25.066111765528596 15.25964982719832
 "pod" 3 2.3289541020676925 33.63741365437748
 "pod" 10 24.67577018350676 34.237321114090776
 "pod" 13 18.420653705888636 31.501696435124586
 "pod" 12 25.73676174674647 5.377484947924348
 "pod" 9 20.895781224104937 16.501139378810183
 "pod" 2 31.243581491912085 18.202163381555145
 "pod" 8 2.2703819169071484 24.823055120358905
 "pod" 4 24.794293684453486 36.19367149481978
 "pod" 5 14.239823805326248 17.418310075943047
 "pod" 7 3.5704940776414285 37.262171675822664
 "pod" 11 26.996152401079133 8.125684807959777
